security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
449534,14:45,-5.0,3.0,0.5,0.5,0.0,130701.0,130701.0,130701.0,130701.0,-8.0,Neutral,0.0,0.0,Neutral
449534,14:47,37.0,-12.0,0.0,0.0,0.0,130704.0,130704.0,130704.0,130704.0,49.0,Neutral,0.0,0.0,Neutral
449534,14:48,-3.0,-3.0,2.5,2.5,0.0,130749.0,130749.0,130749.0,130749.0,0.0,Neutral,0.0,0.0,Neutral
449534,14:49,8.0,2.0,8.5,0.5,8.0,130751.0,130751.0,130751.0,130751.0,6.0,Buy Dominant,0.0,0.0,Neutral
449534,14:50,-1.0,-5.0,3.5,8.5,-5.0,130736.0,130772.0,130736.0,130750.0,4.0,Sell Dominant,0.0,0.0,Neutral
449534,14:51,-10.0,2.0,2.0,4.0,-2.0,130742.0,130769.0,130740.0,130742.0,-12.0,Sell Dominant,0.0,0.0,Neutral
449534,14:52,-5.0,3.0,2.0,1.0,1.0,130781.0,130781.0,130760.0,130760.0,-8.0,Buy Dominant,0.0,0.0,Neutral
449534,14:53,17.0,0.0,2.0,1.0,1.0,130760.0,130781.0,130760.0,130760.0,17.0,Buy Dominant,0.0,0.0,Neutral
449534,14:54,10.0,-8.0,9.5,0.5,9.0,130780.0,130795.0,130780.0,130795.0,18.0,Buy Dominant,0.0,0.0,Neutral
449534,14:55,-1.0,2.0,11.0,6.0,5.0,130799.0,130816.0,130799.0,130800.0,-3.0,Buy Dominant,0.0,0.0,Neutral
449534,14:56,3.0,12.0,1.0,0.0,1.0,130792.0,130814.0,130792.0,130814.0,-9.0,Buy Dominant,0.0,0.0,Neutral
449534,14:57,-7.0,0.0,1.0,6.0,-5.0,130815.0,130815.0,130800.0,130800.0,-7.0,Sell Dominant,0.0,0.0,Neutral
449534,14:58,-20.0,12.0,2.5,0.5,2.0,130796.0,130801.0,130796.0,130801.0,-32.0,Buy Dominant,0.0,0.0,Neutral
449534,14:59,0.0,0.0,0.5,0.5,0.0,130781.0,130781.0,130781.0,130781.0,0.0,Neutral,0.0,0.0,Neutral
449534,15:00,-59.0,-10.0,7.5,17.5,-10.0,130775.0,130799.0,130775.0,130799.0,-49.0,Sell Dominant,0.0,0.0,Neutral
449534,15:01,-6.0,1.0,7.0,1.0,6.0,130824.0,130837.0,130808.0,130837.0,-7.0,Buy Dominant,0.0,0.0,Neutral
449534,15:03,-2.0,2.0,6.0,5.0,1.0,130837.0,130840.0,130830.0,130830.0,-4.0,Buy Dominant,0.0,0.0,Neutral
449534,15:04,-20.0,3.0,35.5,0.5,35.0,130841.0,130849.0,130841.0,130849.0,-23.0,Buy Dominant,0.0,0.0,Neutral
449534,15:05,-8.0,4.0,3.5,0.5,3.0,130850.0,130850.0,130827.0,130827.0,-12.0,Buy Dominant,0.0,0.0,Neutral
449534,15:06,4.0,1.0,4.0,1.0,3.0,130828.0,130830.0,130828.0,130830.0,3.0,Buy Dominant,0.0,0.0,Neutral
449534,15:07,-8.0,10.0,16.5,9.5,7.0,130853.0,130858.0,130850.0,130850.0,-18.0,Buy Dominant,0.0,0.0,Neutral
449534,15:08,0.0,-1.0,2.0,13.0,-11.0,130817.0,130845.0,130817.0,130845.0,1.0,Sell Dominant,0.0,0.0,Neutral
449534,15:09,0.0,-2.0,1.0,0.0,1.0,130846.0,130846.0,130846.0,130846.0,2.0,Buy Dominant,0.0,0.0,Neutral
449534,15:10,-3.0,8.0,1.0,4.0,-3.0,130833.0,130833.0,130810.0,130810.0,-11.0,Sell Dominant,0.0,0.0,Neutral
449534,15:11,2.0,-1.0,2.0,2.0,0.0,130810.0,130810.0,130810.0,130810.0,3.0,Neutral,0.0,0.0,Neutral
449534,15:12,5.0,-6.0,20.0,0.0,20.0,130813.0,130813.0,130813.0,130813.0,11.0,Buy Dominant,0.0,0.0,Neutral
449534,15:13,6.0,-1.0,3.0,0.0,3.0,130846.0,130846.0,130846.0,130846.0,7.0,Buy Dominant,0.0,0.0,Neutral
449534,15:14,0.0,0.0,1.0,1.0,0.0,130824.0,130824.0,130824.0,130824.0,0.0,Neutral,0.0,0.0,Neutral
449534,15:15,-2.0,1.0,9.0,0.0,9.0,130850.0,130850.0,130850.0,130850.0,-3.0,Buy Dominant,0.0,0.0,Neutral
449534,15:16,-1.0,0.0,3.5,3.5,0.0,130836.0,130850.0,130835.0,130850.0,-1.0,Neutral,0.0,0.0,Neutral
449534,15:17,5.0,-11.0,6.0,8.0,-2.0,130846.0,130878.0,130846.0,130878.0,16.0,Sell Dominant,0.0,0.0,Neutral
449534,15:18,3.0,-5.0,16.0,0.0,16.0,130899.0,130899.0,130899.0,130899.0,8.0,Buy Dominant,0.0,0.0,Neutral
449534,15:19,1.0,2.0,15.0,1.0,14.0,130925.0,130925.0,130899.0,130908.0,-1.0,Buy Dominant,0.0,0.0,Neutral
449534,15:20,-5.0,15.0,0.5,21.5,-21.0,130915.0,130915.0,130850.0,130850.0,-20.0,Sell Dominant,0.0,0.0,Neutral
449534,15:21,-7.0,-4.0,4.0,0.0,4.0,130870.0,130870.0,130870.0,130870.0,-3.0,Buy Dominant,0.0,0.0,Neutral
449534,15:22,1.0,10.0,1.5,0.5,1.0,130866.0,130867.0,130866.0,130867.0,-9.0,Buy Dominant,0.0,0.0,Neutral
449534,15:23,-4.0,2.0,2.5,4.5,-2.0,130850.0,130850.0,130838.0,130838.0,-6.0,Sell Dominant,0.0,0.0,Neutral
449534,15:24,-2.0,-7.0,2.0,7.0,-5.0,130830.0,130830.0,130811.0,130828.0,5.0,Sell Dominant,0.0,0.0,Neutral
449534,15:25,3.0,2.0,7.0,0.0,7.0,130843.0,130843.0,130843.0,130843.0,1.0,Buy Dominant,0.0,0.0,Neutral
449534,15:26,-2.0,0.0,1.0,0.0,1.0,130870.0,130870.0,130870.0,130870.0,-2.0,Buy Dominant,0.0,0.0,Neutral
449534,15:27,8.0,1.0,0.0,7.0,-7.0,130869.0,130869.0,130869.0,130869.0,7.0,Sell Dominant,0.0,0.0,Neutral
449534,15:28,-1.0,6.0,6.0,0.0,6.0,130896.0,130896.0,130896.0,130896.0,-7.0,Buy Dominant,0.0,0.0,Neutral
